exam_id,id,domain,topic,scenario,tasks,verify,hints
EX01,Q12,Application Deployment (20%),Use Kubernetes primitives to implement common deployment strategies (blue/green or canary),Implement a blue/green deployment for 'notifier' in namespace 'ckad-practice'.,"1. Create Deployment 'notifier-blue' with 3 replicas, image 'busybox:1.36', labels: version=blue
2. Create Service 'notifier' selector: version=blue, port 8080
3. Create Deployment 'notifier-green' with 3 replicas, image 'busybox:latest', labels: version=green
4. Verify green is ready, then switch Service selector to version=green
5. Verify traffic now routes to green Pods",kubectl get endpoints notifier -n ckad-practice && kubectl describe svc notifier -n ckad-practice | grep Selector,"Blue/green: two parallel deployments, one Service. Switch selector to cut over instantly."
EX02,Q35,Services and Networking (20%),Demonstrate basic understanding of NetworkPolicies,Allow cross-namespace communication for 'processor' between 'default' and 'ckad-practice'.,"1. In namespace 'default', create a Pod with label app=processor-backend
2. In namespace 'ckad-practice', create a Pod with label app=processor-frontend
3. Create a NetworkPolicy in 'default' allowing ingress from namespace 'ckad-practice' to Pods labeled app=processor-backend
4. Test connectivity from the frontend Pod to the backend Pod
5. Verify that Pods from other namespaces cannot reach the backend",kubectl get networkpolicy -n default && kubectl exec -n ckad-practice processor-frontend -- wget -qO- http://processor-backend.default.svc.cluster.local,Use namespaceSelector in NetworkPolicy to allow traffic from specific namespaces.
EX03,Q09,Application Design and Build (20%),Utilize persistent and ephemeral volumes,Deploy a stateful application 'processor' that requires persistent storage for its data directory.,"1. Create a PVC 'processor-pvc' in namespace 'team-alpha' requesting 1Gi storage with StorageClass 'local-path'
2. Create a Deployment 'processor-db' with 1 replica using image 'redis:7-alpine'
3. Mount the PVC at /data in the container
4. Write a test key to Redis
5. Delete the Pod and verify the data persists when the new Pod starts",kubectl get pvc processor-pvc -n team-alpha && kubectl exec deployment/processor-db -n team-alpha -- redis-cli GET testkey,"Use volumeClaimTemplates for StatefulSets, but for Deployment use a pre-created PVC. StatefulSet is preferred for stateful apps."
EX04,Q24,Application Observability and Maintenance (15%),Debugging in Kubernetes,A Service 'frontend' in namespace 'team-alpha' is not routing traffic correctly.,"1. Verify Service exists and has endpoints: 'kubectl get svc frontend -n team-alpha' and 'kubectl get endpoints frontend -n team-alpha'
2. Check if selector labels match Pod labels
3. Verify Pods are ready (readiness probe passing)
4. Test connectivity from a debug Pod: 'kubectl run debug --rm -it --image=busybox -n team-alpha -- wget -qO- http://frontend'
5. Check for NetworkPolicy blocking traffic
6. Fix any mismatched labels or policies and verify",kubectl get endpoints frontend -n team-alpha && kubectl get pods -n team-alpha -l app=frontend -o wide,No endpoints = selector mismatch or no ready Pods. Use a debug Pod to test network paths.
EX05,Q07,Application Design and Build (20%),"Understand multi-container Pod design patterns (sidecar, init, and others)",Deploy 'api' with an init container that waits for a database service to be ready before the main app starts.,"1. Create Pod 'api-init' in namespace 'default'
2. Init container: image 'busybox:1.36', command retries connecting to 'db-service.default.svc.cluster.local:3306' for 60 seconds
3. Main container: image 'httpd:alpine', port 3000
4. Verify init container completes before main container starts
5. Check Pod status transitions: Init:0/1 -> Init:1/1 -> Running",kubectl describe pod api-init -n default | grep -A5 Init,Init containers run sequentially before app containers. Use 'for i in $(seq 1 60); do ...; sleep 1; done' for retry logic.
EX06,Q29,"Application Environment, Configuration and Security (25%)",Define resource requirements,Properly size 'notifier' in namespace 'team-beta' with CPU and memory constraints.,"1. Create Deployment 'notifier' with image 'nginx:alpine', 2 replicas
2. Set resource requests: CPU=200m, memory=1Gi
3. Set resource limits: CPU=500m, memory=512Mi
4. Verify resources are set with 'kubectl describe pod'
5. Check if the Pod is assigned to a node with sufficient resources
6. Explain the difference between requests (scheduling) and limits (runtime enforcement)",kubectl get pod -n team-beta -l app=notifier -o jsonpath='{.items[0].spec.containers[0].resources}',Requests are used by scheduler. Limits are enforced by kubelet/Cgroups. Always set both.
EX07,Q32,"Application Environment, Configuration and Security (25%)","Understand Application Security (SecurityContexts, Capabilities, etc.)",Harden 'cache' in namespace 'ckad-practice' with comprehensive security settings.,"1. Create Pod 'cache-secure' in namespace 'ckad-practice' with image 'python:3.11-slim'
2. Set pod-level SecurityContext: runAsNonRoot=true, seccompProfile type=RuntimeDefault
3. Set container-level SecurityContext: readOnlyRootFilesystem=true, allowPrivilegeEscalation=false, capabilities drop=['ALL']
4. Add capabilities add=['NET_BIND_SERVICE'] if the app needs to bind to privileged ports
5. Verify the container runs as a non-root user
6. Verify the root filesystem is read-only and the container cannot write to /",kubectl exec cache-secure -n ckad-practice -- id && kubectl exec cache-secure -n ckad-practice -- touch /testfile 2>&1 | grep 'Read-only file system',"SecurityContext at pod level affects all containers. Container level overrides pod level. Drop ALL capabilities, then add only what's needed."
EX08,Q22,Application Observability and Maintenance (15%),Utilize container logs,Collect and analyze logs from 'processor' in namespace 'prod'.,"1. Create Deployment 'processor' that outputs structured logs to stdout
2. View logs from a single Pod: 'kubectl logs <pod-name> -n prod'
3. View logs from all Pods in the Deployment: 'kubectl logs -l app=processor -n prod'
4. Stream logs in real-time: 'kubectl logs -f deployment/processor -n prod'
5. View previous container logs (after a restart): 'kubectl logs <pod-name> -n prod --previous'
6. Save logs to a file for analysis",kubectl logs -l app=processor -n prod --tail=10,Use labels to aggregate logs across replicas. --previous shows logs from crashed containers.
EX09,Q20,Application Observability and Maintenance (15%),Implement probes and health checks,Configure TCP socket and exec probes for 'notifier' in namespace 'team-alpha'.,"1. Create Pod 'notifier-tcp' in namespace 'team-alpha' running 'busybox:1.36' on port 9000
2. Add livenessProbe: TCP socket check on port 9000, initialDelaySeconds=15
3. Add readinessProbe: exec command ['test', '-f', '/tmp/ready']
4. Exec into the Pod and create /tmp/ready to mark it ready
5. Remove /tmp/ready and observe the Pod becoming not-ready
6. Restore /tmp/ready and verify it becomes ready again",kubectl get pod notifier-tcp -n team-alpha && kubectl exec notifier-tcp -n team-alpha -- touch /tmp/ready,TCP probes check port connectivity. Exec probes run commands inside the container. Use 'kubectl exec' to manipulate readiness.
EX10,Q34,Services and Networking (20%),Demonstrate basic understanding of NetworkPolicies,Restrict network traffic for 'processor' in namespace 'default'.,"1. Create a default-deny NetworkPolicy in namespace 'default' that blocks all ingress and egress
2. Create an allow NetworkPolicy 'processor-allow' that allows ingress to Pods with label app=processor only from Pods with label app=frontend in the same namespace
3. Allow egress from 'processor' Pods to port 3000 on CIDR 10.0.0.0/8 only
4. Test connectivity from allowed and denied sources using debug Pods
5. Verify allowed traffic succeeds and denied traffic times out",kubectl get networkpolicy -n default && kubectl describe networkpolicy processor-allow -n default,Default deny: empty ingress/egress rules with policyTypes. Always specify both policyTypes if you want to control both directions.
EX11,Q15,Application Deployment (20%),Use the Helm package manager to deploy existing packages,Deploy a chart from a Helm repository into namespace 'dev'.,"1. Add the bitnami Helm repository: helm repo add bitnami https://charts.bitnami.com/bitnami
2. Update repo index: helm repo update
3. Search for a 'nginx' chart in the bitnami repo
4. Install the chart as 'backend-nginx' in namespace 'dev' with --create-namespace
5. Verify the release with 'helm list -n dev'
6. Upgrade the release to set replicaCount=3
7. Rollback the release to revision 1",helm list -n dev && helm history backend-nginx -n dev,"Helm manages releases with revisions. Use 'helm install', 'helm upgrade', 'helm rollback', 'helm uninstall'."
EX12,Q37,Services and Networking (20%),Provide and troubleshoot access to applications via services,Troubleshoot service discovery between 'processor' and 'cache' in namespace 'team-alpha'.,"1. Create Deployment and Service for 'processor' with selector app=processor
2. Create Deployment and Service for 'cache' with selector app=cache
3. Verify DNS resolution works: 'nslookup cache.team-alpha.svc.cluster.local' from a debug Pod
4. Test connectivity with curl/wget between the two Services
5. Intentionally break the selector label on one Service and observe endpoints disappear
6. Fix the selector and verify endpoints return",kubectl get endpoints processor cache -n team-alpha && kubectl run debug --rm -it -n team-alpha --image=busybox -- nslookup cache,Service DNS: <service>.<namespace>.svc.cluster.local. Endpoints disappear if selector doesn't match Pods.
EX13,Q17,Application Deployment (20%),Kustomize,Use Kustomize to manage environment-specific configurations for 'webapp'.,"1. Create a base directory with a Deployment manifest for 'webapp' (image: nginx:alpine, 2 replicas)
2. Create an overlay for 'staging' that changes replicas to 3 and adds resource limits
3. Create an overlay for 'prod' that changes replicas to 5 and adds a nodeSelector
4. Build the staging overlay: kustomize build overlays/staging
5. Apply the prod overlay: kubectl apply -k overlays/prod
6. Verify the differences between environments",kustomize build overlays/prod | kubectl diff -f - && kubectl get deployment webapp -n prod,"Kustomize uses bases + overlays. kustomization.yaml defines resources, patches, and common customizations."
EX14,Q31,"Application Environment, Configuration and Security (25%)",Understand ServiceAccounts,Configure a dedicated ServiceAccount for 'notifier' in namespace 'team-alpha'.,"1. Create ServiceAccount 'notifier-sa' in namespace 'team-alpha'
2. Create a Role allowing get/list on ConfigMaps in 'team-alpha'
3. Create a RoleBinding binding 'notifier-sa' to the Role
4. Create a Pod that uses 'notifier-sa' as its serviceAccountName
5. From inside the Pod, attempt to list ConfigMaps (should succeed) and Pods (should fail)
6. View the auto-mounted token at /var/run/secrets/kubernetes.io/serviceaccount/token",kubectl auth can-i get configmaps --as=system:serviceaccount:team-alpha:notifier-sa -n team-alpha && kubectl auth can-i get pods --as=system:serviceaccount:team-alpha:notifier-sa -n team-alpha,Default ServiceAccount has minimal permissions. Custom ServiceAccounts need explicit RoleBindings.
EX15,Q02,Application Design and Build (20%),"Define, build, and modify container images",Deploy 'scheduler' in 'team-alpha' with a container that needs to pull a private image 'alpine:3.18' using imagePullSecrets.,"1. Create a Secret of type 'kubernetes.io/dockerconfigjson' named 'registry-creds' in 'team-alpha'
2. Create a Pod 'scheduler-private' using image 'alpine:3.18'
3. Configure imagePullSecrets to use 'registry-creds'
4. Verify the Pod can pull the image (check events if it fails)",kubectl get events -n team-alpha | grep scheduler-private,kubectl create secret docker-registry ... or manually create the Secret with .dockerconfigjson data.
