id,domain,topic,scenario,tasks,verify,hints
Q01,Application Design and Build (20%),"Define, build, and modify container images",You need to deploy a custom application 'gateway' in namespace 'workloads' using a container image 'python:3.11-slim' that requires a specific command override.,"1. Create a Pod 'gateway-custom' in namespace 'workloads' using image 'python:3.11-slim'
2. Override the default command to run 'sleep 3600'
3. Set the working directory to '/tmp'
4. Add two environment variables: APP_NAME=gateway and NAMESPACE=workloads
5. Verify the container is running with the overridden command",kubectl get pod gateway-custom -n workloads && kubectl describe pod gateway-custom -n workloads,Use 'command' and 'args' in the container spec. WorkingDir sets the working directory.
Q02,Application Design and Build (20%),"Define, build, and modify container images",Deploy 'scheduler' in 'team-alpha' with a container that needs to pull a private image 'alpine:3.18' using imagePullSecrets.,"1. Create a Secret of type 'kubernetes.io/dockerconfigjson' named 'registry-creds' in 'team-alpha'
2. Create a Pod 'scheduler-private' using image 'alpine:3.18'
3. Configure imagePullSecrets to use 'registry-creds'
4. Verify the Pod can pull the image (check events if it fails)",kubectl get events -n team-alpha | grep scheduler-private,kubectl create secret docker-registry ... or manually create the Secret with .dockerconfigjson data.
Q03,Application Design and Build (20%),"Choose and use the right workload resource (Deployment, DaemonSet, CronJob, etc.)",You need to run a background job that processes logs every 5 minutes in namespace 'default'.,"1. Create a CronJob 'backend-cron' in namespace 'default'
2. Schedule: '*/5 * * * *'
3. Job template: use image 'busybox:1.36', command: ['sh', '-c', 'echo Processing logs at $(date)']
4. Set successfulJobsHistoryLimit to 3 and failedJobsHistoryLimit to 1
5. Manually trigger one job and verify it completes",kubectl get cronjob backend-cron -n default && kubectl get jobs -n default,"CronJob spec includes schedule, jobTemplate, and history limits. Use 'kubectl create job --from=cronjob/...' to trigger."
Q04,Application Design and Build (20%),"Choose and use the right workload resource (Deployment, DaemonSet, CronJob, etc.)",You need to run a monitoring agent on every node in the cluster that collects node-level metrics.,"1. Create a DaemonSet 'cache-agent' in namespace 'dev'
2. Use image 'busybox:1.36'
3. Mount the host's /proc directory at /host/proc in read-only mode
4. Mount the host's /sys directory at /host/sys in read-only mode
5. Ensure the agent tolerates the node-role.kubernetes.io/control-plane taint
6. Verify a Pod runs on every node",kubectl get daemonset cache-agent -n dev && kubectl get pods -n dev -o wide,DaemonSet ensures one Pod per node. Use hostPath volumes. Add tolerations for control-plane nodes.
Q05,Application Design and Build (20%),"Choose and use the right workload resource (Deployment, DaemonSet, CronJob, etc.)",You need to run a one-time database migration job before starting the main application.,"1. Create a Job 'proxy-migration' in namespace 'ckad-practice'
2. Use image 'busybox:1.36' with command ['sh', '-c', 'echo DB migration completed']
3. Set completions: 1, parallelism: 1, backoffLimit: 3
4. Ensure the Job has a ttlSecondsAfterFinished of 60
5. Wait for completion and verify the Job succeeded",kubectl get job proxy-migration -n ckad-practice && kubectl logs job/proxy-migration -n ckad-practice,"Job spec includes completions, parallelism, and backoffLimit. ttlSecondsAfterFinished auto-cleans completed Jobs."
Q06,Application Design and Build (20%),"Understand multi-container Pod design patterns (sidecar, init, and others)","Create a Pod with an adapter pattern: a main app writes logs to a file, and a sidecar streams them to stdout.","1. Create Pod 'notifier-adapter' in namespace 'workloads'
2. Main container: image 'busybox:1.36', writes logs to /var/log/app.log every 5 seconds
3. Sidecar container: image 'busybox:1.36', runs 'tail -f /var/log/app.log'
4. Share a volume 'log-vol' (emptyDir) mounted at /var/log in both containers
5. Verify sidecar stdout shows the log entries",kubectl logs notifier-adapter -n workloads -c notifier-sidecar,Adapter pattern transforms output. Both containers mount the same emptyDir volume.
Q07,Application Design and Build (20%),"Understand multi-container Pod design patterns (sidecar, init, and others)",Deploy 'api' with an init container that waits for a database service to be ready before the main app starts.,"1. Create Pod 'api-init' in namespace 'default'
2. Init container: image 'busybox:1.36', command retries connecting to 'db-service.default.svc.cluster.local:3306' for 60 seconds
3. Main container: image 'httpd:alpine', port 3000
4. Verify init container completes before main container starts
5. Check Pod status transitions: Init:0/1 -> Init:1/1 -> Running",kubectl describe pod api-init -n default | grep -A5 Init,Init containers run sequentially before app containers. Use 'for i in $(seq 1 60); do ...; sleep 1; done' for retry logic.
Q08,Application Design and Build (20%),"Understand multi-container Pod design patterns (sidecar, init, and others)",Create an ambassador pattern Pod where a local proxy container forwards requests to an external service.,"1. Create Pod 'cache-ambassador' in namespace 'default'
2. Ambassador container: image 'nginx:alpine', listens on port 8080
3. Configure nginx to proxy_pass to an upstream (use a simple server block)
4. Main app container: image 'busybox:1.36', runs 'wget -qO- http://localhost:8080' in a loop
5. Verify the app can reach the external service through the ambassador",kubectl logs cache-ambassador -n default -c cache-app,"Ambassador pattern proxies external connections. The main app talks to localhost, ambassador forwards outward."
Q09,Application Design and Build (20%),Utilize persistent and ephemeral volumes,Deploy a stateful application 'processor' that requires persistent storage for its data directory.,"1. Create a PVC 'processor-pvc' in namespace 'team-alpha' requesting 1Gi storage with StorageClass 'local-path'
2. Create a Deployment 'processor-db' with 1 replica using image 'redis:7-alpine'
3. Mount the PVC at /data in the container
4. Write a test key to Redis
5. Delete the Pod and verify the data persists when the new Pod starts",kubectl get pvc processor-pvc -n team-alpha && kubectl exec deployment/processor-db -n team-alpha -- redis-cli GET testkey,"Use volumeClaimTemplates for StatefulSets, but for Deployment use a pre-created PVC. StatefulSet is preferred for stateful apps."
Q10,Application Design and Build (20%),Utilize persistent and ephemeral volumes,Create a Pod that uses both ephemeral (emptyDir) and persistent storage.,"1. Create Pod 'notifier-mixed' in namespace 'team-beta' using image 'nginx:alpine'
2. Add an emptyDir volume 'cache' mounted at /var/cache/nginx
3. Add a hostPath volume 'logs' mounted at /var/log/nginx (host path: /tmp/nginx-logs)
4. Verify both mounts exist inside the container
5. Write a file to each mount and verify from host or container",kubectl exec notifier-mixed -n team-beta -- df -h | grep -E 'cache|logs',emptyDir is ephemeral and shared between containers. hostPath mounts a directory from the node filesystem.
